>Feature	Ctg44_length_309375			
			locus_tag	LWC14_03015
346568	351817	CDS		
			product	mitochondrial DNA polymerase I protein B
144052	145416	gene		
			locus_tag	LWC14_03016
144052	145416	CDS		
			product	hypothetical protein, conserved
259028	259948	gene		
			locus_tag	LWC14_03017
259948	259028	CDS		
			product	hypothetical protein, conserved
59521	59940	gene		
			locus_tag	LWC14_03018
59521	59940	CDS		
			product	hypothetical protein
306929	314551	gene		
			locus_tag	LWC14_03019
306929	314551	CDS		
			product	hypothetical protein, conserved
64750	65562	gene		
			locus_tag	LWC14_03020
64750	65562	CDS		
			product	40S ribosomal protein S4, putative
126439	128394	gene		
			locus_tag	LWC14_03021
126439	128394	CDS		
			product	katanin, putative
269597	271459	gene		
			locus_tag	LWC14_03022
271459	269597	CDS		
			product	hypothetical protein
240671	245170	gene		
			locus_tag	LWC14_03023
245170	240671	CDS		
			product	hypothetical protein, conserved
60494	62800	gene		
			locus_tag	LWC14_03024
60494	62800	CDS		
			product	Thiamin pyrophosphokinase, vitamin B1 binding domain containing protein, putative
333715	335271	gene		
			locus_tag	LWC14_03025
333715	335271	CDS		
			product	protein kinase A regulatory subunit
69392	69946	gene		
			locus_tag	LWC14_03026
69392	69946	CDS		
			product	Mitochondrial ribosomal protein L27
57005	57394	gene		
			locus_tag	LWC14_03027
57005	57394	CDS		
			product	hypothetical protein
187841	193900	gene		
			locus_tag	LWC14_03028
187841	193900	CDS		
			product	predicted C2 domain protein
112376	113245	gene		
			locus_tag	LWC14_03029
112376	113245	CDS		
			product	hypothetical protein
322677	323402	gene		
			locus_tag	LWC14_03030
322677	323402	CDS		
			product	Ras-related protein Rab5B
180125	181423	gene		
			locus_tag	LWC14_03031
180125	181423	CDS		
			product	hypothetical protein, conserved
157727	158977	gene		
			locus_tag	LWC14_03032
157727	158977	CDS		
			product	hypothetical protein, conserved
323901	326132	gene		
			locus_tag	LWC14_03033
323901	326132	CDS		
			product	Triglyceride lipase, putative
390822	392606	gene		
			locus_tag	LWC14_03034
392606	390822	CDS		
			product	hypothetical protein, conserved
337135	338574	gene		
			locus_tag	LWC14_03035
337135	338574	CDS		
			product	hypothetical protein, conserved
15929	19471	gene		
			locus_tag	LWC14_03036
15929	19471	CDS		
			product	hypothetical protein, conserved
218767	219957	gene		
			locus_tag	LWC14_03037
219957	218767	CDS		
			product	mannose-specific lectin, putative
340434	343664	gene		
			locus_tag	LWC14_03038
340434	343664	CDS		
			product	Kinesin-13 2
247031	247624	gene		
			locus_tag	LWC14_03039
247624	247031	CDS		
			product	60S ribosomal protein L18, putative
73839	74192	gene		
			locus_tag	LWC14_03040
73839	74192	CDS		
			product	dynein light chain Tctex-type, putative
145784	146749	gene		
			locus_tag	LWC14_03041
145784	146749	CDS		
			product	hypothetical protein, conserved
90430	91743	gene		
			locus_tag	LWC14_03042
90430	91743	CDS		
			product	proteasome regulatory ATPase subunit 2
286436	288847	gene		
			locus_tag	LWC14_03043
286436	288847	CDS		
			product	Flagellar radial spoke protein 4/6
70343	72463	gene		
			locus_tag	LWC14_03044
70343	72463	CDS		
			product	adenylosuccinate synthetase, putative
42139	43287	gene		
			locus_tag	LWC14_03045
42139	43287	CDS		
			product	hypothetical protein
344478	345644	gene		
			locus_tag	LWC14_03046
344478	345644	CDS		
			product	SURF1 family, putative
153265	155094	gene		
			locus_tag	LWC14_03047
153265	155094	CDS		
			product	metallo-peptidase, Clan ME, Family M16
251934	252524	gene		
			locus_tag	LWC14_03048
252524	251934	CDS		
			product	hypothetical protein, conserved
231745	232704	gene		
			locus_tag	LWC14_03049
232704	231745	CDS		
			product	hypothetical protein
78315	79748	gene		
			locus_tag	LWC14_03050
78315	79748	CDS		
			product	Alpha/beta hydrolase family, putative
215809	218007	gene		
			locus_tag	LWC14_03051
218007	215809	CDS		
			product	Metallopeptidase family M24, putative
148555	150894	gene		
			locus_tag	LWC14_03052
148555	150894	CDS		
			product	hypothetical protein, conserved
21635	24433	gene		
			locus_tag	LWC14_03053
21635	24433	CDS		
			product	Sin-like protein conserved region, putative
253423	257436	gene		
			locus_tag	LWC14_03054
257436	253423	CDS		
			product	SUMO-interacting motif-containing protein
128785	130116	gene		
			locus_tag	LWC14_03055
128785	130116	CDS		
			product	actin, putative
113836	115179	gene		
			locus_tag	LWC14_03056
113836	115179	CDS		
			product	hypothetical protein, conserved
2999	3691	gene		
			locus_tag	LWC14_03057
2999	3691	CDS		
			product	calmodulin, putative
364007	365224	gene		
			locus_tag	LWC14_03058
365224	364007	CDS		
			product	cytochrome b5-dependent oleate desaturase
162707	167008	gene		
			locus_tag	LWC14_03059
162707	167008	CDS		
			product	hypothetical protein, conserved
14566	15468	gene		
			locus_tag	LWC14_03060
14566	15468	CDS		
			product	hypothetical protein
387502	387867	gene		
			locus_tag	LWC14_03061
387867	387502	CDS		
			product	small nuclear ribonucleoprotein SmD2
248920	251616	gene		
			locus_tag	LWC14_03062
251616	248920	CDS		
			product	Uncharacterized ACR, COG1678, putative
267560	269068	gene		
			locus_tag	LWC14_03063
269068	267560	CDS		
			product	Histidine phosphatase superfamily (branch 1), putative
51151	52179	gene		
			locus_tag	LWC14_03064
51151	52179	CDS		
			product	XPA-interacting protein, putative
226961	231064	gene		
			locus_tag	LWC14_03065
231064	226961	CDS		
			product	hypothetical protein, conserved
106542	107816	gene		
			locus_tag	LWC14_03066
106542	107816	CDS		
			product	hypothetical protein, conserved
58183	58479	gene		
			locus_tag	LWC14_03067
58183	58479	CDS		
			product	hypothetical protein
19851	21131	gene		
			locus_tag	LWC14_03068
19851	21131	CDS		
			product	hypothetical protein
289770	291776	gene		
			locus_tag	LWC14_03069
289770	291776	CDS		
			product	long-chain-fatty-acid-CoA ligase, putative
159617	161284	gene		
			locus_tag	LWC14_03070
159617	161284	CDS		
			product	hypothetical protein
320443	320949	gene		
			locus_tag	LWC14_03071
320443	320949	CDS		
			product	hypothetical protein, conserved
399786	405041	gene		
			locus_tag	LWC14_03072
405041	399786	CDS		
			product	Holliday-junction resolvase-like of SPT6/SH2 domain containing protein, putative
281741	285265	gene		
			locus_tag	LWC14_03073
281741	285265	CDS		
			product	ULK family serine/threonine-protein kinase, putative
353214	354179	gene		
			locus_tag	LWC14_03074
353214	354179	CDS		
			product	hypothetical protein
210587	214723	gene		
			locus_tag	LWC14_03075
214723	210587	CDS		
			product	PSP1 C-terminal conserved region, putative
260390	267142	gene		
			locus_tag	LWC14_03076
267142	260390	CDS		
			product	ATP-dependent RNA helicase, putative
385693	386907	gene		
			locus_tag	LWC14_03077
386907	385693	CDS		
			product	cation transporter, putative
38982	40358	gene		
			locus_tag	LWC14_03078
38982	40358	CDS		
			product	hypothetical protein
224343	225974	gene		
			locus_tag	LWC14_03079
225974	224343	CDS		
			product	palmitoyl acyltransferase 6, putative
276234	277103	gene		
			locus_tag	LWC14_03080
276234	277103	CDS		
			product	heat shock protein 70
104457	105419	gene		
			locus_tag	LWC14_03081
104457	105419	CDS		
			product	subtilisin peptidase
10152	13214	gene		
			locus_tag	LWC14_03082
10152	13214	CDS		
			product	hypothetical protein
133529	134353	gene		
			locus_tag	LWC14_03083
133529	134353	CDS		
			product	glycosyltransferase family-like protein, putative
388912	390153	gene		
			locus_tag	LWC14_03084
390153	388912	CDS		
			product	hypothetical protein, conserved
406476	415361	gene		
			locus_tag	LWC14_03085
415361	406476	CDS		
			product	hypothetical protein
297186	304904	gene		
			locus_tag	LWC14_03086
297186	304904	CDS		
			product	Sister chromatid cohesion C-terminus, putative
83064	83309	gene		
			locus_tag	LWC14_03087
83064	83309	CDS		
			product	DNA-directed RNA polymerases I, II, and III subunit RPABC5, putative
52874	56374	gene		
			locus_tag	LWC14_03088
52874	56374	CDS		
			product	hypothetical protein
220921	223287	gene		
			locus_tag	LWC14_03089
223287	220921	CDS		
			product	U-box domain containing protein, putative
236197	237216	gene		
			locus_tag	LWC14_03090
237216	236197	CDS		
			product	hypothetical protein, conserved
376416	376733	gene		
			locus_tag	LWC14_03091
376733	376416	CDS		
			product	60S ribosomal protein L44
167755	168675	gene		
			locus_tag	LWC14_03092
167755	168675	CDS		
			product	Complex1_LYR-like, putative
100917	101822	gene		
			locus_tag	LWC14_03093
100917	101822	CDS		
			product	NADH-cytochrome b5 reductase, putative
257849	258775	gene		
			locus_tag	LWC14_03094
258775	257849	CDS		
			product	Protein of unknown function (DUF1014), putative
382707	385163	gene		
			locus_tag	LWC14_03095
385163	382707	CDS		
			product	beta prime COP protein
328423	329376	gene		
			locus_tag	LWC14_03096
328423	329376	CDS		
			product	hypothetical protein
92979	99728	gene		
			locus_tag	LWC14_03097
92979	99728	CDS		
			product	hypothetical protein
292454	296869	gene		
			locus_tag	LWC14_03098
292454	296869	CDS		
			product	hypothetical protein, conserved
108212	111253	gene		
			locus_tag	LWC14_03099
108212	111253	CDS		
			product	hypothetical protein
80083	82437	gene		
			locus_tag	LWC14_03100
80083	82437	CDS		
			product	Uncharacterised ACR, YagE family COG1723, putative
365564	369370	gene		
			locus_tag	LWC14_03101
369370	365564	CDS		
			product	ABC transporter, putative
393032	395140	gene		
			locus_tag	LWC14_03102
395140	393032	CDS		
			product	hypothetical protein, conserved
280043	280459	gene		
			locus_tag	LWC14_03103
280043	280459	CDS		
			product	ALBA-Domain Protein
331092	333152	gene		
			locus_tag	LWC14_03104
331092	333152	CDS		
			product	histone acetyltransferase, putative
140785	143484	gene		
			locus_tag	LWC14_03105
140785	143484	CDS		
			product	CHAT domain containing protein, putative
85847	89125	gene		
			locus_tag	LWC14_03106
85847	89125	CDS		
			product	leucyl-tRNA synthetase, putative
361413	362630	gene		
			locus_tag	LWC14_03107
362630	361413	CDS		
			product	cytochrome b5-dependent oleate desaturase
66147	67886	gene		
			locus_tag	LWC14_03108
66147	67886	CDS		
			product	nucleobase/nucleoside transporter 8.1, putative
102998	103792	gene		
			locus_tag	LWC14_03109
102998	103792	CDS		
			product	Dpy-30 motif containing protein, putative
147091	148110	gene		
			locus_tag	LWC14_03110
147091	148110	CDS		
			product	hypothetical protein, conserved
44603	45913	gene		
			locus_tag	LWC14_03111
44603	45913	CDS		
			product	hypothetical protein
199606	200907	gene		
			locus_tag	LWC14_03112
199606	200907	CDS		
			product	ubiquitin-like protein, putative
202385	204058	gene		
			locus_tag	LWC14_03113
202385	204058	CDS		
			product	oxidoreductase, putative
204514	208677	gene		
			locus_tag	LWC14_03114
208677	204514	CDS		
			product	hypothetical protein
117549	123425	gene		
			locus_tag	LWC14_03115
117549	123425	CDS		
			product	AMP deaminase, putative
123779	125887	gene		
			locus_tag	LWC14_03116
123779	125887	CDS		
			product	hypothetical protein, conserved
4378	7719	gene		
			locus_tag	LWC14_03117
4378	7719	CDS		
			product	hypothetical protein
395560	396012	gene		
			locus_tag	LWC14_03118
396012	395560	CDS		
			product	40S ribosomal protein S13, putative
396261	397178	gene		
			locus_tag	LWC14_03119
397178	396261	CDS		
			product	hypothetical protein, conserved
397409	398959	gene		
			locus_tag	LWC14_03120
398959	397409	CDS		
			product	hypothetical protein, conserved
178810	179379	gene		
			locus_tag	LWC14_03121
178810	179379	CDS		
			product	hypothetical protein
179456	179860	gene		
			locus_tag	LWC14_03122
179456	179860	CDS		
			product	hypothetical protein
316666	318369	gene		
			locus_tag	LWC14_03123
316666	318369	CDS		
			product	Nucleoporin NUP48
318968	319843	gene		
			locus_tag	LWC14_03124
318968	319843	CDS		
			product	Domain of unknown function (DUF4200), putative
377244	379049	gene		
			locus_tag	LWC14_03125
379049	377244	CDS		
			product	hypothetical protein, conserved
379463	381310	gene		
			locus_tag	LWC14_03126
381310	379463	CDS		
			product	mitochondrial RNA binding complex 1 subunit
74772	76940	gene		
			locus_tag	LWC14_03127
74772	76940	CDS		
			product	Mitoribosomal SSU assembly factor 16
77244	77714	gene		
			locus_tag	LWC14_03128
77244	77714	CDS		
			product	calmodulin, putative
182469	184679	gene		
			locus_tag	LWC14_03129
182469	184679	CDS		
			product	Mitogen-activated protein kinase 6
134811	135509	gene		
			locus_tag	LWC14_03130
134811	135509	CDS		
			product	hypothetical protein
136750	139698	gene		
			locus_tag	LWC14_03131
136750	139698	CDS		
			product	hypothetical protein, conserved
355297	356448	gene		
			locus_tag	LWC14_03132
355297	356448	CDS		
			product	hypothetical protein
357219	358214	gene		
			locus_tag	LWC14_03133
357219	358214	CDS		
			product	Aquaglyceroporin 1
371354	373564	gene		
			locus_tag	LWC14_03134
373564	371354	CDS		
			product	hypothetical protein
374898	375953	gene		
			locus_tag	LWC14_03135
375953	374898	CDS		
			product	hypothetical protein
194262	195227	gene		
			locus_tag	LWC14_03136
194262	195227	CDS		
			product	hypothetical protein, conserved
195496	198885	gene		
			locus_tag	LWC14_03137
195496	198885	CDS		
			product	hypothetical protein
1676	2029	gene		
			locus_tag	LWC14_03138
1676	2029	CDS		
			product	hypothetical protein
>Feature	Ctg20_length_420575			
6561	9242	gene		
			locus_tag	LWC14_03139
9242	6561	CDS		
			product	glycosyltransferase (GlcNAc), putative
127288	136029	gene		
			locus_tag	LWC14_03140
127288	136029	CDS		
			product	Stumpy formation signalling pathway protein, putative
367527	368948	gene		
			locus_tag	LWC14_03141
367527	368948	CDS		
			product	hypothetical protein, conserved
400608	407567	gene		
			locus_tag	LWC14_03142
400608	407567	CDS		
			product	hypothetical protein, conserved
327388	328434	gene		
			locus_tag	LWC14_03143
327388	328434	CDS		
			product	deoxyhypusine hydroxylase, putative
362347	364005	gene		
			locus_tag	LWC14_03144
362347	364005	CDS		
			product	methyltransferase domain containing protein, putative
3321	4115	gene		
			locus_tag	LWC14_03145
4115	3321	CDS		
			product	hypothetical protein
240930	243563	gene		
			locus_tag	LWC14_03146
240930	243563	CDS		
			product	hypothetical protein, conserved
97296	99788	gene		
			locus_tag	LWC14_03147
97296	99788	CDS		
			product	kinetoplastid kinetochore protein 18
158483	159937	gene		
			locus_tag	LWC14_03148
158483	159937	CDS		
			product	hypothetical protein, conserved
221545	222753	gene		
			locus_tag	LWC14_03149
221545	222753	CDS		
			product	Eukaryotic initiation factor 4A-1
144768	145874	gene		
			locus_tag	LWC14_03150
144768	145874	CDS		
			product	hypothetical protein
322511	326461	gene		
			locus_tag	LWC14_03151
322511	326461	CDS		
			product	hypothetical protein, conserved
172317	176381	gene		
			locus_tag	LWC14_03152
172317	176381	CDS		
			product	GTPase activating protein, putative
102275	106618	gene		
			locus_tag	LWC14_03153
102275	106618	CDS		
			product	Dyggve-Melchior-Clausen syndrome protein, putative
113135	113734	gene		
			locus_tag	LWC14_03154
113135	113734	CDS		
			product	ribosomal protein S7, putative
75629	76885	gene		
			locus_tag	LWC14_03155
76885	75629	CDS		
			product	exopolyphosphatase
21570	22244	gene		
			locus_tag	LWC14_03156
22244	21570	CDS		
			product	LSU ribosomal protein, mitochondrial, putative
236486	237100	gene		
			locus_tag	LWC14_03157
236486	237100	CDS		
			product	cytochrome oxidase subunit V
42330	42560	gene		
			locus_tag	LWC14_03158
42560	42330	CDS		
			product	U6 snRNA-associated Sm-like protein LSm6p
279139	280200	gene		
			locus_tag	LWC14_03159
279139	280200	CDS		
			product	hypothetical protein
207229	209376	gene		
			locus_tag	LWC14_03160
207229	209376	CDS		
			product	hypothetical protein
147377	149608	gene		
			locus_tag	LWC14_03161
147377	149608	CDS		
			product	fatty acyl CoA synthetase 3
329132	330076	gene		
			locus_tag	LWC14_03162
329132	330076	CDS		
			product	TLC domain containing protein, putative
156256	157995	gene		
			locus_tag	LWC14_03163
156256	157995	CDS		
			product	hypothetical protein
317894	320107	gene		
			locus_tag	LWC14_03164
317894	320107	CDS		
			product	Mitoribosomal SSU assembly factor 6
218677	221196	gene		
			locus_tag	LWC14_03165
218677	221196	CDS		
			product	hypothetical protein, conserved
45549	46856	gene		
			locus_tag	LWC14_03166
46856	45549	CDS		
			product	hypothetical protein
137236	139323	gene		
			locus_tag	LWC14_03167
137236	139323	CDS		
			product	fatty acyl CoA syntetase 1
177758	179245	gene		
			locus_tag	LWC14_03168
177758	179245	CDS		
			product	DNA-damage inducible protein DDI1-like protein
229776	232931	gene		
			locus_tag	LWC14_03169
229776	232931	CDS		
			product	calcium/potassium channel (CAKC), putative
382086	386222	gene		
			locus_tag	LWC14_03170
382086	386222	CDS		
			product	SUMO1/Ulp2, putative
197790	203390	gene		
			locus_tag	LWC14_03171
197790	203390	CDS		
			product	hypothetical protein
205388	206200	gene		
			locus_tag	LWC14_03172
205388	206200	CDS		
			product	hypothetical protein
299763	301430	gene		
			locus_tag	LWC14_03173
299763	301430	CDS		
			product	Engulfment and cell motility domain-containing protein
68812	69123	gene		
			locus_tag	LWC14_03174
69123	68812	CDS		
			product	thioredoxin
179806	181845	gene		
			locus_tag	LWC14_03175
179806	181845	CDS		
			product	Beat-regulation protein
164208	169379	gene		
			locus_tag	LWC14_03176
164208	169379	CDS		
			product	hypothetical protein, conserved
209751	211217	gene		
			locus_tag	LWC14_03177
209751	211217	CDS		
			product	NEDD8 activating enzyme subunit, putative
390387	391130	gene		
			locus_tag	LWC14_03178
390387	391130	CDS		
			product	hypothetical protein, conserved
79870	80577	gene		
			locus_tag	LWC14_03179
80577	79870	CDS		
			product	hypothetical protein
321088	322077	gene		
			locus_tag	LWC14_03180
321088	322077	CDS		
			product	hypothetical protein, conserved
10876	12246	gene		
			locus_tag	LWC14_03181
12246	10876	CDS		
			product	hypothetical protein, conserved
265326	267938	gene		
			locus_tag	LWC14_03182
265326	267938	CDS		
			product	histone acetyltransferase subunit NuA4, putative
67403	68470	gene		
			locus_tag	LWC14_03183
68470	67403	CDS		
			product	Calmodulin-binding, putative
364774	366309	gene		
			locus_tag	LWC14_03184
364774	366309	CDS		
			product	hypothetical protein
359265	359963	gene		
			locus_tag	LWC14_03185
359265	359963	CDS		
			product	mitotubule-associated protein Gb4, putative
31411	32367	gene		
			locus_tag	LWC14_03186
32367	31411	CDS		
			product	hypothetical protein
47415	50171	gene		
			locus_tag	LWC14_03187
50171	47415	CDS		
			product	Voltage-gated Chloride channel Like 1
95612	96757	gene		
			locus_tag	LWC14_03188
95612	96757	CDS		
			product	hypothetical protein
285978	293036	gene		
			locus_tag	LWC14_03189
285978	293036	CDS		
			product	hypothetical protein, conserved
25949	26704	gene		
			locus_tag	LWC14_03190
26704	25949	CDS		
			product	LSU ribosomal protein, mitochondrial, putative
302288	305677	gene		
			locus_tag	LWC14_03191
302288	305677	CDS		
			product	Present in the outer mitochondrial membrane proteome 2
244057	247380	gene		
			locus_tag	LWC14_03192
244057	247380	CDS		
			product	STE/STE11 serine/threonine-protein kinase, putative
123098	123805	gene		
			locus_tag	LWC14_03193
123098	123805	CDS		
			product	nicotinamidase, putative
372857	373339	gene		
			locus_tag	LWC14_03194
372857	373339	CDS		
			product	hypothetical protein
386710	388335	gene		
			locus_tag	LWC14_03195
386710	388335	CDS		
			product	hypothetical protein, conserved
189388	194190	gene		
			locus_tag	LWC14_03196
189388	194190	CDS		
			product	hypothetical protein, conserved
15120	17921	gene		
			locus_tag	LWC14_03197
17921	15120	CDS		
			product	Kinesin-13 1
351313	352674	gene		
			locus_tag	LWC14_03198
351313	352674	CDS		
			product	electon transport protein SCO1/SCO2, putative
392360	398728	gene		
			locus_tag	LWC14_03199
392360	398728	CDS		
			product	calcium/calmodulin-dependent protein kinase, putative
141066	143162	gene		
			locus_tag	LWC14_03200
141066	143162	CDS		
			product	fatty acyl CoA synthetase 2
182853	186641	gene		
			locus_tag	LWC14_03201
182853	186641	CDS		
			product	heat shock protein, putative
248520	250868	gene		
			locus_tag	LWC14_03202
248520	250868	CDS		
			product	hypothetical protein, conserved
268531	278682	gene		
			locus_tag	LWC14_03203
268531	278682	CDS		
			product	U3 small nucleolar RNA-associated protein 10, putative
107197	109662	gene		
			locus_tag	LWC14_03204
107197	109662	CDS		
			product	hypothetical protein, conserved
170432	172012	gene		
			locus_tag	LWC14_03205
170432	172012	CDS		
			product	RNA-editing ligase 1, mitochondrial
100353	101912	gene		
			locus_tag	LWC14_03206
100353	101912	CDS		
			product	Protein of unknown function (DUF788), putative
110405	112708	gene		
			locus_tag	LWC14_03207
110405	112708	CDS		
			product	hypothetical protein
30320	31099	gene		
			locus_tag	LWC14_03208
31099	30320	CDS		
			product	hypothetical protein, conserved
238016	240508	gene		
			locus_tag	LWC14_03209
238016	240508	CDS		
			product	hypothetical protein
282782	285355	gene		
			locus_tag	LWC14_03210
282782	285355	CDS		
			product	EB1-like C-terminal motif containing protein, putative
297697	299490	gene		
			locus_tag	LWC14_03211
297697	299490	CDS		
			product	hypothetical protein
371019	372380	gene		
			locus_tag	LWC14_03212
371019	372380	CDS		
			product	PQ loop repeat, putative
346901	349498	gene		
			locus_tag	LWC14_03213
346901	349498	CDS		
			product	nucleolar protein
187308	188945	gene		
			locus_tag	LWC14_03214
187308	188945	CDS		
			product	Mitochondrial-processing peptidase subunit beta
39811	40713	gene		
			locus_tag	LWC14_03215
40713	39811	CDS		
			product	hypothetical protein, conserved
251358	253268	gene		
			locus_tag	LWC14_03216
251358	253268	CDS		
			product	hypothetical protein, conserved
211788	218066	gene		
			locus_tag	LWC14_03217
211788	218066	CDS		
			product	hypothetical protein, conserved
409837	411819	gene		
			locus_tag	LWC14_03218
409837	411819	CDS		
			product	hypothetical protein, conserved
366863	367165	gene		
			locus_tag	LWC14_03219
366863	367165	CDS		
			product	hypothetical protein, conserved
64647	66953	gene		
			locus_tag	LWC14_03220
66953	64647	CDS		
			product	hypothetical protein
23562	25556	gene		
			locus_tag	LWC14_03221
25556	23562	CDS		
			product	3-methylcrotonyl-CoA carboxylase alpha subunit, putative
257074	257682	gene		
			locus_tag	LWC14_03222
257074	257682	CDS		
			product	hypothetical protein
280535	282400	gene		
			locus_tag	LWC14_03223
280535	282400	CDS		
			product	hypothetical protein, conserved
27135	29699	gene		
			locus_tag	LWC14_03224
29699	27135	CDS		
			product	BSD domain containing protein, putative
12544	14406	gene		
			locus_tag	LWC14_03225
14406	12544	CDS		
			product	Endonuclease/Exonuclease/phosphatase family, putative
375625	380745	gene		
			locus_tag	LWC14_03226
375625	380745	CDS		
			product	Pseudokinase, putative
61570	64284	gene		
			locus_tag	LWC14_03227
64284	61570	CDS		
			product	DNA excision repair protein ERCC 6
151144	155925	gene		
			locus_tag	LWC14_03228
151144	155925	CDS		
			product	Long-chain-fatty-acid--CoA ligase 5 (EC 6.2.1.3) (Long-chain acyl-CoA synthetase 5) (LACS 5), putative
332333	345280	gene		
			locus_tag	LWC14_03229
332333	345280	CDS		
			product	microtubule-associated protein
233440	234531	gene		
			locus_tag	LWC14_03230
233440	234531	CDS		
			product	sphingolipid delta 4 desaturase, putative
91541	92593	gene		
			locus_tag	LWC14_03231
91541	92593	CDS		
			product	Nucleoporin GLE2
74009	74542	gene		
			locus_tag	LWC14_03232
74542	74009	CDS		
			product	hypothetical protein, conserved
74997	75200	gene		
			locus_tag	LWC14_03233
75200	74997	CDS		
			product	4F5 protein family, putative
55453	57675	gene		
			locus_tag	LWC14_03234
57675	55453	CDS		
			product	zinc finger protein family member, putative
58671	59858	gene		
			locus_tag	LWC14_03235
59858	58671	CDS		
			product	cyclophilin type peptidyl-prolyl cis-trans isomerase, putative
60028	60519	gene		
			locus_tag	LWC14_03236
60519	60028	CDS		
			product	hypothetical protein, conserved
93187	93906	gene		
			locus_tag	LWC14_03237
93187	93906	CDS		
			product	hypothetical protein, conserved
94308	94604	gene		
			locus_tag	LWC14_03238
94308	94604	CDS		
			product	Mitochondrial pyruvate carrier 1
77243	77680	gene		
			locus_tag	LWC14_03239
77680	77243	CDS		
			product	hypothetical protein, conserved
19579	20118	gene		
			locus_tag	LWC14_03240
20118	19579	CDS		
			product	3-methylcrotonyl-CoA carboxylase alpha subunit, putative
50516	51070	gene		
			locus_tag	LWC14_03241
51070	50516	CDS		
			product	U5Cwc21 small nuclear ribonucleoprotein
51313	52200	gene		
			locus_tag	LWC14_03242
52200	51313	CDS		
			product	Mitoribosomal SSU assembly factor 26
41124	41366	gene		
			locus_tag	LWC14_03243
41366	41124	CDS		
			product	hypothetical protein, conserved
41652	41999	gene		
			locus_tag	LWC14_03244
41999	41652	CDS		
			product	hypothetical protein, conserved
69575	71932	gene		
			locus_tag	LWC14_03245
71932	69575	CDS		
			product	N-acetyltransferase, putative
72120	73415	gene		
			locus_tag	LWC14_03246
73415	72120	CDS		
			product	pseudouridylate synthase, putative
353383	354423	gene		
			locus_tag	LWC14_03247
353383	354423	CDS		
			product	hypothetical protein
120235	122067	gene		
			locus_tag	LWC14_03248
120235	122067	CDS		
			product	hypothetical protein
253518	254771	gene		
			locus_tag	LWC14_03249
253518	254771	CDS		
			product	hypothetical protein, conserved
255062	255295	gene		
			locus_tag	LWC14_03250
255062	255295	CDS		
			product	hypothetical protein
162482	163456	gene		
			locus_tag	LWC14_03251
162482	163456	CDS		
			product	tricarboxylate carrier, putative
316889	317131	gene		
			locus_tag	LWC14_03252
316889	317131	CDS		
			product	hypothetical protein
114210	114809	gene		
			locus_tag	LWC14_03253
114210	114809	CDS		
			product	ribosomal protein S7, putative
115270	117888	gene		
			locus_tag	LWC14_03254
115270	117888	CDS		
			product	Ring finger domain/Zn-finger in ubiquitin-hydrolases and other protein, putative
32619	33806	gene		
			locus_tag	LWC14_03255
33806	32619	CDS		
			product	Glycosyl transferase family 11, putative
34207	34953	gene		
			locus_tag	LWC14_03256
34953	34207	CDS		
			product	monothiol glutaredoxin, putative
36331	38508	gene		
			locus_tag	LWC14_03257
38508	36331	CDS		
			product	hypothetical protein, conserved
407983	408783	gene		
			locus_tag	LWC14_03258
407983	408783	CDS		
			product	hypothetical protein, conserved
409138	409476	gene		
			locus_tag	LWC14_03259
409138	409476	CDS		
			product	hypothetical protein, conserved
>Feature	Ctg27_length_404805			
331675	334614	gene		
			locus_tag	LWC14_03260
334614	331675	CDS		
			product	major vault protein, putative
298516	301980	gene		
			locus_tag	LWC14_03261
301980	298516	CDS		
			product	GTP-binding protein, putative
208049	208573	gene		
			locus_tag	LWC14_03262
208573	208049	CDS		
			product	hypothetical protein, conserved
55785	58277	gene		
			locus_tag	LWC14_03263
58277	55785	CDS		
			product	glutaminyl cyclase, putative
336171	339083	gene		
			locus_tag	LWC14_03264
339083	336171	CDS		
			product	hypothetical protein, conserved
166672	168249	gene		
			locus_tag	LWC14_03265
168249	166672	CDS		
			product	hypothetical protein
212329	214332	gene		
			locus_tag	LWC14_03266
214332	212329	CDS		
			product	GTP-binding protein, putative
330265	330534	gene		
			locus_tag	LWC14_03267
330534	330265	CDS		
			product	dynein light chain, putative
77737	80040	gene		
			locus_tag	LWC14_03268
80040	77737	CDS		
			product	zinc-finger of a C2HC-type, putative
92536	93057	gene		
			locus_tag	LWC14_03269
93057	92536	CDS		
			product	Got1/Sft2-like family, putative
59677	62094	gene		
			locus_tag	LWC14_03270
62094	59677	CDS		
			product	hypothetical protein
49944	52100	gene		
			locus_tag	LWC14_03271
49944	52100	CDS		
			product	hypothetical protein, conserved
192761	193951	gene		
			locus_tag	LWC14_03272
193951	192761	CDS		
			product	cdc2-related kinase 2
368965	371244	gene		
			locus_tag	LWC14_03273
371244	368965	CDS		
			product	Nodulin-like, putative
36676	44679	gene		
			locus_tag	LWC14_03274
36676	44679	CDS		
			product	Bait on Hook 2
156854	161821	gene		
			locus_tag	LWC14_03275
161821	156854	CDS		
			product	Ankyrin repeats (3 copies), putative
274624	276921	gene		
			locus_tag	LWC14_03276
276921	274624	CDS		
			product	hypothetical protein
328011	329168	gene		
			locus_tag	LWC14_03277
329168	328011	CDS		
			product	calcium/calmodulin-dependent protein kinase, putative
252232	253614	gene		
			locus_tag	LWC14_03278
253614	252232	CDS		
			product	Mitochondrial ribosomal protein S11
272213	273499	gene		
			locus_tag	LWC14_03279
273499	272213	CDS		
